Series_Title,Gross,Genre,Fecha,Genero
Short Cuts,6110979,Comedy,1993-11-01,COMEDIA
Philadelphia,77324422,Drama,1993-12-01,DRAMA
The Muppet Christmas Carol,27281507,Comedy,1992-04-01,COMEDIA
Malcolm X,48169908,Biography,1992-01-01,BIOGRAFIA
The Last of the Mohicans,75505856,Action,1992-11-01,ACCION
Kurenai no buta,1,Animation,1992-09-01,ANIMACION
Glengarry Glen Ross,10725228,Crime,1992-02-01,CRIMEN
A Few Good Men,141340178,Drama,1992-09-01,DRAMA
Fried Green Tomatoes,82418501,Drama,1991-08-01,DRAMA
Barton Fink,6153939,Comedy,1991-07-01,COMEDIA
Miller's Crossing,5080409,Crime,1990-08-01,CRIMEN
Who Framed Roger Rabbit,156452370,Animation,1988-11-01,ANIMACION
Spoorloos,1,Mystery,1988-01-01,MISTERIO
Withnail & I,1544889,Comedy,1987-02-01,COMEDIA
The Last Emperor,43984230,Biography,1987-03-01,BIOGRAFIA
Empire of the Sun,22238696,Action,1987-06-01,ACCION
Der Name der Rose,7153487,Crime,1986-04-01,CRIMEN
Blue Velvet,8551228,Drama,1986-09-01,DRAMA
The Purple Rose of Cairo,10631333,Comedy,1985-03-01,COMEDIA
After Hours,10600000,Comedy,1985-01-01,COMEDIA
Zelig,11798616,Comedy,1983-11-01,COMEDIA
The Verdict,54000000,Drama,1982-04-01,DRAMA
Star Trek II: The Wrath of Khan,78912963,Action,1982-01-01,ACCION
First Blood,47212904,Action,1982-12-01,ACCION
Ordinary People,54800000,Drama,1980-02-01,DRAMA
Airplane!,83400000,Comedy,1980-10-01,COMEDIA
Rupan sansei: Kariosutoro no shiro,1,Animation,1979-08-01,ANIMACION
Halloween,47000000,Horror,1978-12-01,HORROR
Le locataire,1924733,Drama,1976-03-01,DRAMA
Love and Death,1,Comedy,1975-07-01,COMEDIA
The Taking of Pelham One Two Three,1,Action,1974-04-01,ACCION
Blazing Saddles,119500000,Comedy,1974-01-01,COMEDIA
Serpico,29800000,Biography,1973-11-01,BIOGRAFIA
Enter the Dragon,25000000,Action,1973-11-01,ACCION
Deliverance,7056013,Adventure,1972-11-01,AVENTURA
The French Connection,15630710,Action,1971-08-01,ACCION
Dirty Harry,35900000,Action,1971-07-01,ACCION
Where Eagles Dare,1,Action,1968-06-01,ACCION
The Odd Couple,44527234,Comedy,1968-11-01,COMEDIA
The Dirty Dozen,45300000,Action,1967-08-01,ACCION
Belle de jour,26331,Drama,1967-09-01,DRAMA
A Man for All Seasons,28350000,Biography,1966-07-01,BIOGRAFIA
Repulsion,1,Drama,1965-09-01,DRAMA
Zulu,1,Drama,1964-11-01,DRAMA
Goldfinger,51081062,Action,1964-11-01,ACCION
The Birds,11403529,Drama,1963-04-01,DRAMA
Cape Fear,1,Drama,1962-01-01,DRAMA
Peeping Tom,83957,Drama,1960-04-01,DRAMA
The Magnificent Seven,4905000,Action,1960-04-01,ACCION
Les yeux sans visage,52709,Drama,1960-08-01,DRAMA
Invasion of the Body Snatchers,1,Drama,1956-10-01,DRAMA
Rebel Without a Cause,1,Drama,1955-06-01,DRAMA
The Ladykillers,1,Comedy,1955-05-01,COMEDIA
Sabrina,1,Comedy,1954-06-01,COMEDIA
The Quiet Man,10550000,Comedy,1952-07-01,COMEDIA
The Day the Earth Stood Still,1,Drama,1951-11-01,DRAMA
The African Queen,536118,Adventure,1951-06-01,AVENTURA
Gilda,1,Drama,1946-03-01,DRAMA
Fantasia,76408097,Animation,1940-06-01,ANIMACION
The Invisible Man,1,Horror,1933-08-01,HORROR
Dark Waters,1,Biography,2019-11-01,BIOGRAFIA
Searching,26020957,Drama,2018-08-01,DRAMA
Once Upon a Time... in Hollywood,142502728,Comedy,2019-02-01,COMEDIA
Nelyubov,566356,Drama,2017-04-01,DRAMA
The Florida Project,5904366,Drama,2017-08-01,DRAMA
Just Mercy,1,Biography,2019-10-01,BIOGRAFIA
Gifted,24801212,Drama,2017-09-01,DRAMA
The Peanut Butter Falcon,13122642,Adventure,2019-11-01,AVENTURA
Victoria,1,Crime,2015-12-01,CRIMEN
Mustang,845464,Drama,2015-04-01,DRAMA
Guardians of the Galaxy Vol. 2,389813101,Action,2017-02-01,ACCION
Baby Driver,107825862,Action,2017-09-01,ACCION
Only the Brave,18340051,Action,2017-03-01,ACCION
Bridge of Spies,72313754,Drama,2015-04-01,DRAMA
Incredibles 2,608581744,Animation,2018-06-01,ANIMACION
Moana,248757044,Animation,2016-10-01,ANIMACION
Sicario,46889293,Action,2015-04-01,ACCION
Creed,109767581,Drama,2015-03-01,DRAMA
Leviafan,1092800,Crime,2014-08-01,CRIMEN
Hell or High Water,26862450,Action,2016-09-01,ACCION
Philomena,37707719,Biography,2013-01-01,BIOGRAFIA
Dawn of the Planet of the Apes,208545589,Action,2014-04-01,ACCION
El cuerpo,1,Mystery,2012-05-01,MISTERIO
Serbuan maut,4105123,Action,2011-08-01,ACCION
End of Watch,41003371,Action,2012-10-01,ACCION
Kari-gurashi no Arietti,19202743,Animation,2010-06-01,ANIMACION
A Star Is Born,215288866,Drama,2018-08-01,DRAMA
True Grit,171243005,Drama,2010-09-01,DRAMA
Hævnen,1008098,Drama,2010-10-01,DRAMA
Despicable Me,251513985,Animation,2010-11-01,ANIMACION
50/50,35014192,Comedy,2011-04-01,COMEDIA
Kick-Ass,48071303,Action,2010-08-01,ACCION
Celda 211,1,Action,2009-09-01,ACCION
Moneyball,75605492,Biography,2011-12-01,BIOGRAFIA
La piel que habito,3185812,Drama,2011-08-01,DRAMA
Zombieland,75590286,Adventure,2009-03-01,AVENTURA
Die Welle,1,Drama,2008-11-01,DRAMA
Sherlock Holmes,209028679,Action,2009-11-01,ACCION
The Blind Side,255959475,Biography,2009-12-01,BIOGRAFIA
The Visitor,9422422,Drama,2007-05-01,DRAMA
Seven Pounds,69951824,Drama,2008-08-01,DRAMA
Eastern Promises,17114882,Action,2007-03-01,ACCION
Stardust,38634938,Adventure,2007-09-01,AVENTURA
The Secret of Kells,686383,Animation,2009-04-01,ANIMACION
Inside Man,88513495,Crime,2006-08-01,CRIMEN
Gone Baby Gone,20300218,Crime,2007-08-01,CRIMEN
La Vie En Rose,10301706,Biography,2007-05-01,BIOGRAFIA
Huo Yuan Jia,24633730,Action,2006-07-01,ACCION
The Illusionist,39868642,Drama,2006-02-01,DRAMA
Dead Man's Shoes,6013,Crime,2004-10-01,CRIMEN
Harry Potter and the Half-Blood Prince,301959197,Action,2009-04-01,ACCION
300,210614939,Action,2006-08-01,ACCION
Match Point,23089926,Drama,2005-05-01,DRAMA
Watchmen,107509799,Action,2009-04-01,ACCION
Lord of War,24149632,Action,2005-01-01,ACCION
Saw,56000369,Horror,2004-07-01,HORROR
"Synecdoche, New York",3081925,Drama,2008-12-01,DRAMA
Mysterious Skin,697181,Drama,2004-07-01,DRAMA
Jeux d'enfants,548707,Comedy,2003-11-01,COMEDIA
Un long dimanche de fiançailles,6167817,Drama,2004-07-01,DRAMA
The Station Agent,5739376,Comedy,2003-09-01,COMEDIA
21 Grams,16290476,Crime,2003-11-01,CRIMEN
Boksuneun naui geot,45289,Crime,2002-10-01,CRIMEN
Finding Neverland,51680613,Biography,2004-01-01,BIOGRAFIA
25th Hour,13060843,Drama,2002-04-01,DRAMA
The Butterfly Effect,57938693,Drama,2004-02-01,DRAMA
28 Days Later...,45064915,Drama,2002-09-01,DRAMA
Batoru rowaiaru,1,Action,2000-06-01,ACCION
The Royal Tenenbaums,52364010,Comedy,2001-09-01,COMEDIA
Y tu mamá también,13622333,Drama,2001-08-01,DRAMA
Harry Potter and the Sorcerer's Stone,317575550,Adventure,2001-04-01,AVENTURA
The Others,96522687,Horror,2001-10-01,HORROR
Blow,52990775,Biography,2001-10-01,BIOGRAFIA
Enemy at the Gates,51401758,Drama,2001-09-01,DRAMA
Minority Report,132072926,Action,2002-09-01,ACCION
The Hurricane,50668906,Biography,1999-10-01,BIOGRAFIA
American Psycho,15070285,Comedy,2000-02-01,COMEDIA
Lola rennt,7267585,Crime,1998-10-01,CRIMEN
The Thin Red Line,36400491,Drama,1998-03-01,DRAMA
Mulan,120620254,Animation,1998-02-01,ANIMACION
Fear and Loathing in Las Vegas,10680275,Adventure,1998-11-01,AVENTURA
Funny Games,1,Crime,1997-10-01,CRIMEN
Dark City,14378331,Mystery,1998-05-01,MISTERIO
Sleepers,49100000,Crime,1996-01-01,CRIMEN
Lost Highway,3796699,Mystery,1997-10-01,MISTERIO
Sense and Sensibility,43182776,Drama,1995-04-01,DRAMA
Die Hard: With a Vengeance,100012499,Action,1995-03-01,ACCION
Dead Man,1037847,Adventure,1995-11-01,AVENTURA
The Bridges of Madison County,71516617,Drama,1995-09-01,DRAMA
Apollo 13,173837933,Adventure,1995-08-01,AVENTURA
Trois couleurs: Blanc,1464625,Comedy,1994-07-01,COMEDIA
Falling Down,40903593,Action,1993-03-01,ACCION
Dazed and Confused,7993039,Comedy,1993-04-01,COMEDIA
My Cousin Vinny,52929168,Comedy,1992-02-01,COMEDIA
Omohide poro poro,453243,Animation,1991-08-01,ANIMACION
Delicatessen,1794187,Comedy,1991-10-01,COMEDIA
Home Alone,285761243,Comedy,1990-06-01,COMEDIA
The Godfather: Part III,66666062,Crime,1990-04-01,CRIMEN
When Harry Met Sally...,92823600,Comedy,1989-05-01,COMEDIA
The Little Mermaid,111543479,Animation,1989-07-01,ANIMACION
The Naked Gun: From the Files of Police Squad!,78756177,Comedy,1988-11-01,COMEDIA
"Planes, Trains & Automobiles",49530280,Comedy,1987-02-01,COMEDIA
Lethal Weapon,65207127,Action,1987-02-01,ACCION
Blood Simple,2150000,Crime,1984-02-01,CRIMEN
On Golden Pond,119285432,Drama,1981-09-01,DRAMA
Mad Max 2,12465371,Action,1981-12-01,ACCION
The Warriors,22490039,Action,1979-09-01,ACCION
The Muppet Movie,76657000,Adventure,1979-07-01,AVENTURA
Escape from Alcatraz,43000000,Action,1979-09-01,ACCION
Watership Down,1,Animation,1978-04-01,ANIMACION
Midnight Express,35000000,Biography,1978-09-01,BIOGRAFIA
Close Encounters of the Third Kind,132088635,Drama,1977-07-01,DRAMA
The Long Goodbye,959000,Comedy,1973-11-01,COMEDIA
Giù la testa,696690,Drama,1971-02-01,DRAMA
Kelly's Heroes,1378435,Adventure,1970-03-01,AVENTURA
The Jungle Book,141843612,Animation,1967-10-01,ANIMACION
Blowup,1,Drama,1966-08-01,DRAMA
A Hard Day's Night,13780024,Comedy,1964-01-01,COMEDIA
Breakfast at Tiffany's,1,Comedy,1961-07-01,COMEDIA
Giant,1,Drama,1956-11-01,DRAMA
From Here to Eternity,30500000,Drama,1953-05-01,DRAMA
Lifeboat,1,Drama,1944-04-01,DRAMA
The 39 Steps,1,Crime,1935-08-01,CRIMEN
