Series_Title,Gross,Genre,Fecha,Genero
Warrior,13657115,Action,2011-08-01,ACCION
Shutter Island,128012934,Mystery,2010-09-01,MISTERIO
Up,293004164,Animation,2009-05-01,ANIMACION
The Wolf of Wall Street,116900694,Biography,2013-03-01,BIOGRAFIA
Chak De! India,1113541,Drama,2007-06-01,DRAMA
There Will Be Blood,40222514,Drama,2007-02-01,DRAMA
Pan's Labyrinth,37634615,Drama,2006-11-01,DRAMA
Toy Story 3,415004880,Animation,2010-06-01,ANIMACION
V for Vendetta,70511035,Action,2005-06-01,ACCION
Rang De Basanti,2197331,Comedy,2006-05-01,COMEDIA
Black,733094,Drama,2005-08-01,DRAMA
Batman Begins,206852432,Action,2005-05-01,ACCION
"Swades: We, the People",1223240,Drama,2004-10-01,DRAMA
Der Untergang,5509040,Biography,2004-11-01,BIOGRAFIA
Hauru no ugoku shiro,4711096,Animation,2004-12-01,ANIMACION
A Beautiful Mind,170742341,Biography,2001-05-01,BIOGRAFIA
Hera Pheri,1,Action,2000-08-01,ACCION
"Lock, Stock and Two Smoking Barrels",3897569,Action,1998-09-01,ACCION
L.A. Confidential,64616940,Crime,1997-08-01,CRIMEN
Eskiya,1,Crime,1996-02-01,CRIMEN
Heat,67436818,Crime,1995-10-01,CRIMEN
Casino,42438300,Crime,1995-05-01,CRIMEN
Andaz Apna Apna,1,Action,1994-11-01,ACCION
Unforgiven,101157447,Drama,1992-12-01,DRAMA
Indiana Jones and the Last Crusade,197171806,Action,1989-11-01,ACCION
Dom za vesanje,280015,Comedy,1988-08-01,COMEDIA
Tonari no Totoro,1105564,Animation,1988-06-01,ANIMACION
Die Hard,83008852,Action,1988-10-01,ACCION
Ran,4135750,Action,1985-02-01,ACCION
Raging Bull,23383987,Biography,1980-11-01,BIOGRAFIA
Stalker,234723,Drama,1979-03-01,DRAMA
Höstsonaten,1,Drama,1978-02-01,DRAMA
The Message,1,Biography,1976-11-01,BIOGRAFIA
Sholay,1,Action,1975-10-01,ACCION
Monty Python and the Holy Grail,1229197,Adventure,1975-07-01,AVENTURA
The Great Escape,12100000,Adventure,1963-11-01,AVENTURA
To Kill a Mockingbird,1,Crime,1962-08-01,CRIMEN
Yôjinbô,1,Action,1961-03-01,ACCION
Judgment at Nuremberg,1,Drama,1961-04-01,DRAMA
Some Like It Hot,25000000,Comedy,1959-01-01,COMEDIA
Smultronstället,1,Drama,1957-04-01,DRAMA
Det sjunde inseglet,1,Drama,1957-10-01,DRAMA
Du rififi chez les hommes,57226,Crime,1955-05-01,CRIMEN
Dial M for Murder,12562,Crime,1954-09-01,CRIMEN
Tôkyô monogatari,1,Drama,1953-05-01,DRAMA
Rashômon,96568,Crime,1950-11-01,CRIMEN
All About Eve,10177,Drama,1950-04-01,DRAMA
The Treasure of the Sierra Madre,5014000,Adventure,1948-02-01,AVENTURA
To Be or Not to Be,1,Comedy,1942-06-01,COMEDIA
The Gold Rush,5450000,Adventure,1925-11-01,AVENTURA
Sherlock Jr.,977375,Action,1924-08-01,ACCION
Portrait de la jeune fille en feu,3759854,Drama,2019-08-01,DRAMA
Pink,1241223,Drama,2016-08-01,DRAMA
Koe no katachi,1,Animation,2016-12-01,ANIMACION
Contratiempo,1,Crime,2016-08-01,CRIMEN
Ah-ga-ssi,2006788,Drama,2016-08-01,DRAMA
Mommy,3492754,Drama,2014-11-01,DRAMA
Haider,901610,Action,2014-02-01,ACCION
Logan,226277068,Action,2017-08-01,ACCION
Room,14677674,Drama,2015-05-01,DRAMA
Relatos salvajes,3107072,Comedy,2014-02-01,COMEDIA
Soul,1,Animation,2020-03-01,ANIMACION
Kis Uykusu,165520,Drama,2014-11-01,DRAMA
PK,10616104,Comedy,2014-07-01,COMEDIA
OMG: Oh My God!,923221,Comedy,2012-11-01,COMEDIA
The Grand Budapest Hotel,59100318,Adventure,2014-04-01,AVENTURA
Gone Girl,167767189,Drama,2014-10-01,DRAMA
Ôkami kodomo no Ame to Yuki,1,Animation,2012-10-01,ANIMACION
Hacksaw Ridge,67209615,Biography,2016-03-01,BIOGRAFIA
Inside Out,356461711,Animation,2015-02-01,ANIMACION
Barfi!,2804874,Comedy,2012-10-01,COMEDIA
12 Years a Slave,56671993,Biography,2013-06-01,BIOGRAFIA
Rush,26947624,Action,2013-06-01,ACCION
Ford v Ferrari,117624028,Action,2019-10-01,ACCION
